locus_name	gene_name	gene_special	special_score	gene_locusdist_kbp	distance_score	ppi_score	edges_in_otheractive	ppi_deg_active_cnt	ppi_deg_active_names	ppi_deg	TF_score	TF_indeg	TF_in_active_cnt	TF_in_active_names	TF_outdeg	TF_out_active_cnt	TF_out_active_names	total_score	gene_type	snp_type	gene_pattern
rs7194801	CDH11	coloc	1.7308710995530423	130.931	-0.1892846332487866	29.498139551043806	269	2	CDH2;FGFR1	2	1.9205790454689249	0	0	.	0	0	.	32.960305062816985	protein_coding		s1111
rs3777755	EDN1	.	0.0	130.895	-0.1893689005511779	29.498139551043806	269	0		2	1.9205790454689249	0	0	.	0	0	.	31.229349695961552	protein_coding		s1__1
locus_TECRL	TECRL	omim	1.879575675234972	67.105	-0.4724920662146792	29.498139551043806	269	0		0	1.9205790454689249	0	0	.	0	0	.	32.82580220553302	omim		s11_1
rs140367586	AP4M1	.	0.0	66.617	-0.4762122875177432	29.025904042306166	268	0		1	1.9205790454689249	0	0	.	0	0	.	30.470270800257342	protein_coding		.
rs140367586	CNPY4	.	0.0	48.532	-0.637417726556084	29.498139551043806	269	1	LRIG1	1	1.9205790454689249	0	0	.	0	0	.	30.781300869956645	protein_coding		.
rs140367586	COPS6	.	0.0	79.197	-0.3901443282377905	27.88109352192157	270	2	CDKN2C;EDN1	11	1.9205790454689249	0	0	.	0	0	.	29.4115282391527	protein_coding		.
rs140367586	GAL3ST4	.	0.0	0.882	-1.0527059020837362	29.237485488817924	268	0		0	1.9205790454689249	0	0	.	0	0	.	30.10535863220312	protein_coding		.
rs140367586	GPC2	.	0.0	1.44	-1.0523147909592072	29.237485488817924	268	0		0	1.9205790454689249	0	0	.	0	0	.	30.10574974332764	protein_coding		.
rs140367586	LAMTOR4	.	0.0	19.248	-0.9525528745147016	29.237485488817924	268	0		0	1.9205790454689249	0	0	.	0	0	.	30.20551165977215	protein_coding		.
rs140367586	MBLAC1	.	0.0	41.381	-0.7128614366258255	28.815509676594388	268	0		2	1.9205790454689249	0	0	.	0	0	.	30.02322728543749	protein_coding		.
rs140367586	MCM7	.	0.0	66.796	-0.4748439474596417	27.77872471892332	272	4	L1TD1;SIPA1L1;SNTA1:omim;VPS29:coloc	14	1.9205790454689249	0	0	.	0	0	.	29.2244598169326	protein_coding		.
rs140367586	PVRIG	.	0.0	50.075	-0.6219169683654404	28.815509676594388	268	0		2	1.9205790454689249	0	0	.	0	0	.	30.114171753697875	protein_coding		.
rs140367586	STAG3	.	0.0	9.397	-1.0269778955553697	28.815509676594388	268	0		2	1.9205790454689249	0	0	.	0	0	.	29.709110826507946	protein_coding		.
rs140367586	TAF6	.	0.0	53.551	-0.5881428390424115	29.498139551043806	269	1	TBX5	1	1.9205790454689249	0	0	.	0	0	.	30.83057575747032	protein_coding		s0_11
rs140367586	TRAPPC14	.	0.0	11.726	-1.0131072093552815	29.237485488817924	268	0		0	1.9205790454689249	0	0	.	0	0	.	30.144957324931568	protein_coding		.
rs140367586	ZNF3	.	0.0	86.439	-0.3490592972055447	29.237485488817924	268	0		0	1.9205790454689249	0	0	.	0	0	.	30.8090052370813	protein_coding		.
rs140367586	ZSCAN21	.	0.0	118.392	-0.2220783403020823	29.025904042306166	268	0		1	1.9205790454689249	0	0	.	0	0	.	30.72440474747301	protein_coding		.
rs17446418	CAMK2D	coloc	1.7308710995530423	264.334	-0.0543285568170855	29.498139551043806	269	4	CALM1:omim;CALM2:omim;CALM3:omim;RYR2:omim	9	1.9205790454689249	0	0	.	0	0	.	33.09526113924869	protein_coding		s1111
rs12039739+rs4074536	CASQ2	omim	1.879575675234972	68.325	-0.4633321151145352	29.498139551043806	269	3	GJA1;PAM;TRDN:omim	6	1.9205790454689249	0	0	.	0	0	.	32.83496215663317	protein_coding		s1111
rs12039739+rs4074536	NHLH2	.	0.0	50.636	-0.6163572031723529	29.34799741990639	266	0		0	1.9205790454689249	0	0	.	0	0	.	30.65221926220296	protein_coding		.
rs11465506+rs422068	BCL2L2	.	0.0	74.662	-0.4188887538009714	27.98570386999785	268	0		4	1.9205790454689249	0	0	.	0	0	.	29.487394161665804	protein_coding		.
rs11465506+rs422068	BCL2L2-PABPN1	.	0.0	66.619	-0.4761969747604628	29.237485488817924	268	0		0	1.9205790454689249	0	0	.	0	0	.	30.68186755952639	protein_coding		.
rs11465506+rs422068	CMTM5	.	0.0	3.321	-1.0496201530108766	29.010591747185288	272	4	FARS2;NDRG4:coloc;TMF1;ZNF391	9	1.9205790454689249	0	0	.	0	0	.	29.881550639643336	protein_coding		.
rs11465506+rs422068	EFS	.	0.0	7.819	-1.0348160353025335	29.025904042306166	268	0		1	1.9205790454689249	0	0	.	0	0	.	29.91166705247256	protein_coding		.
rs11465506+rs422068	HOMEZ	.	0.0	87.32	-0.3444365361838131	29.498139551043806	269	1	FARS2	1	1.9205790454689249	0	0	.	0	0	.	31.07428206032892	protein_coding		s1_11
rs11465506+rs422068	IL25	.	0.0	0.643	-1.0528159791999614	29.237485488817924	268	0		0	1.9205790454689249	0	0	.	0	0	.	30.105248555086888	protein_coding		.
rs11465506+rs422068	MYH6	.	0.0	10.66	-1.0197844129924716	29.074332527325907	269	1	SORT1	3	1.987182485793004	1	1	TBX5	0	0	.	30.04173060012644	protein_coding		.
rs11465506+rs422068	MYH7	.	0.0	17.145	-0.9715672062850732	29.75948647052371	270	2	GJA1;TLE3	2	1.9205790454689249	0	0	.	0	0	.	30.708498309707565	protein_coding		.
rs11465506+rs422068	NGDN	.	0.0	74.094	-0.4226639353857837	28.606297410709885	268	0		3	1.9205790454689249	0	0	.	0	0	.	30.104212520793027	protein_coding		.
rs11465506+rs422068	PABPN1	.	0.0	51.995	-0.603061063798723	29.074332527325907	269	1	PAM	3	1.9205790454689249	0	0	.	0	0	.	30.391850508996107	protein_coding		.
rs11465506+rs422068	PPP1R3E	.	0.0	77.8	-0.3987393689033084	29.025904042306166	268	0		1	1.9205790454689249	0	0	.	0	0	.	30.547743718871786	protein_coding		.
rs11465506+rs422068	SLC22A17	.	0.0	20.592	-0.939718173287772	29.02590404230611	268	0		1	1.9205790454689249	0	0	.	0	0	.	30.006764914487263	protein_coding		.
rs4430933+rs62144050	MEIS1	.	0.0	64.478	-0.4929024214696166	29.498139551043806	269	1	CREBBP	1	1.9205790454689249	0	0	.	0	0	.	30.92581617504312	protein_coding		s1_11
rs3857067+rs7439869	HPGDS	.	0.0	90.208	-0.3298156113896285	29.498139551043806	269	0		1	1.9205790454689249	0	0	.	0	0	.	31.088902985123102	protein_coding		s1__1
rs3857067+rs7439869	SMARCAD1	.	0.0	45.017	-0.673812510451989	29.17134951985605	271	2	ANAPC7;DDX17:coloc	7	1.9205790454689249	0	0	.	0	0	.	30.41811605487299	protein_coding		.
rs6968945	TNS3	.	0.0	679.016	-0.008643975310721	29.498139551043806	269	0		3	1.9205790454689249	0	0	.	0	0	.	31.410074621202007	protein_coding		s1__1
rs1439840	CNTNAP5	.	0.0	616.344	-0.0104712421039928	29.498139551043806	269	0		0	1.9205790454689249	0	0	.	0	0	.	31.408247354408736	protein_coding		s1__1
rs56233017	EPPK1	.	0.0	49.996	-0.6227031855938636	27.62796959552361	269	1	KCNJ2:omim	10	1.9205790454689249	0	0	.	0	0	.	28.925845455398672	protein_coding		.
rs56233017	GRINA	.	0.0	82.736	-0.3693605875579036	29.498139551043806	269	1	KCNJ2:omim	1	1.9205790454689249	0	0	.	0	0	.	31.049358008954822	protein_coding		s0_11
rs56233017	NRBP2	.	0.0	73.737	-0.425057204348004	29.025904042306166	268	0		1	1.9205790454689249	0	0	.	0	0	.	30.521425883427085	protein_coding		.
rs56233017	PARP10	.	0.0	77.038	-0.4035237869265878	29.237485488817924	268	0		0	1.9205790454689249	0	0	.	0	0	.	30.75454074736026	protein_coding		.
rs56233017	PLEC	.	0.0	32.277	-0.8144521015955877	28.6879412583582	278	10	CAPZA2;CASQ2:omim;CAV3:omim;DDX17:coloc;FGFR1;L1TD1;PRKCA:coloc;RYR2:omim;SNTA1:omim;SOCS6	24	1.9205790454689249	0	0	.	0	0	.	29.79406820223153	protein_coding		.
rs56233017	PUF60	.	0.0	78.005	-0.3974638903281379	27.829052333585626	273	5	AKAP9:omim;PAM;SLC6A4;TTN:exome;VPS29:coloc	17	1.9205790454689249	0	0	.	0	0	.	29.35216748872641	protein_coding		.
rs56233017	SCRIB	.	0.0	91.941	-0.3214205032650385	28.74369331049021	275	7	ARHGEF16;KCNJ2:omim;LRIG1;PAM;PRKCA:coloc;SLC4A4;SNTA1:omim	17	1.9205790454689249	0	0	.	0	0	.	30.342851852694103	protein_coding		.
rs56233017	SPATC1	.	0.0	104.96	-0.266438973334281	29.025904042306166	268	0		1	1.9205790454689249	0	0	.	0	0	.	30.68004411444081	protein_coding		.
rs11083258	CDH2	.	0.0	195.923	-0.0945769732391584	29.498139551043806	269	5	CDH11:coloc;CREBBP;FGFR1;GJA1;SLC6A4	9	1.9205790454689249	1	1	SP3	0	0	.	31.324141623273576	protein_coding		s1_11
rs12764182	LRMDA	.	0.0	699.864	-0.0081409335106343	29.498139551043806	269	0		0	1.9205790454689249	0	0	.	0	0	.	31.41057766300209	protein_coding		s1__1
rs1047640+rs938291	SP3	.	0.0	37.237	-0.7586881358763319	29.498139551043806	269	2	CREBBP;TFAP4	3	1.9205790454689249	0	0	.	6	3	BPI;CDH2;IGFBP3	30.6600304606364	protein_coding		s1_11
rs55910611+rs907683	ASIC4	.	0.0	79.351	-0.3892106374893461	28.911860456233622	270	1	PMP22	5	1.9205790454689249	0	0	.	0	0	.	30.443228864213204	protein_coding		.
rs55910611+rs907683	CHPF	.	0.0	96.736	-0.2995829825604122	29.498139551043806	269	0		0	1.9205790454689249	0	0	.	0	0	.	31.11913561395232	protein_coding		.
rs55910611+rs907683	DES	.	0.0	16.442	-0.977599601835558	29.008636672802368	272	3	DYSF;LMO4;NRAP:exome	9	1.9205790454689249	0	0	.	0	0	.	29.951616116435737	protein_coding		.
rs55910611+rs907683	DNPEP	.	0.0	47.023	-0.6528639141952576	29.54563532382249	270	1	TNS3	2	1.9205790454689249	0	0	.	0	0	.	30.813350455096163	protein_coding		.
rs55910611+rs907683	GMPPA	.	0.0	64.046	-0.4963496961504353	29.28542228223344	269	0		1	1.9205790454689249	0	0	.	0	0	.	30.709651631551928	protein_coding		.
rs55910611+rs907683	INHA	.	0.0	66.528	-0.4768942557069021	29.75926378347416	270	1	ACVR2A	1	1.9205790454689249	0	0	.	0	0	.	31.202948573236178	protein_coding		.
rs55910611+rs907683	OBSL1	.	0.0	64.151	-0.4955094380802733	25.587852415218865	275	6	CAPZA2;CASQ2:omim;DDX17:coloc;FLOT1;SPATS2L:coloc;TTN:exome	24	1.9205790454689249	0	0	.	0	0	.	27.012922022607512	protein_coding		.
rs55910611+rs907683	RESP18	.	0.0	107.412	-0.2575037863073607	29.498139551043806	269	0		0	1.9205790454689249	0	0	.	0	0	.	31.16121481020537	protein_coding		.
rs55910611+rs907683	SLC4A3	exome,omim	5.037169291606072	8.296	-1.0325850661010896	29.498139551043806	269	0		0	1.9205790454689249	0	0	.	0	0	.	35.42330282201772	protein_coding		s01_1
rs55910611+rs907683	SPEG	coloc	1.7308710995530423	0.024	-1.0529407036001472	30.02107352003705	271	2	CACNA1C:omim;RYR2:omim	2	1.9205790454689249	0	0	.	0	0	.	32.61958296145887	protein_coding		.
rs55910611+rs907683	SPEGNB	.	0.0	61.312	-0.5187696513962582	29.498139551043806	269	0		0	1.9205790454689249	0	0	.	0	0	.	30.89994894511647	protein_coding		.
rs55910611+rs907683	STK11IP	.	0.0	37.833	-0.7520325329879628	29.498139551043806	269	0		0	1.9205790454689249	0	0	.	0	0	.	30.66668606352477	protein_coding		.
rs55910611+rs907683	TMEM198	.	0.0	92.027	-0.3210110651820264	29.498139551043806	269	0		0	1.9205790454689249	0	0	.	0	0	.	31.097707531330705	protein_coding		.
locus_ANK2	ANK2	omim	1.879575675234972	283.094	-0.0477079807709454	29.498139551043806	269	5	CAV3:omim;KCNQ1:exome,omim;OBSCN;PAM;SLC8A1	7	1.9205790454689249	0	0	.	0	0	.	33.25058629097676	omim		s1111
rs6683273	ARHGEF16	.	0.0	112.046	-0.2416835744468451	29.498139551043806	269	0		2	1.9205790454689249	0	0	.	0	0	.	31.177035022065887	protein_coding		s1__1
rs3736352	TINAG	.	0.0	53.27	-0.5908125114219271	29.498139551043806	269	0		0	1.9205790454689249	0	0	.	0	0	.	30.8279060850908	protein_coding		s1__1
rs2283847	MN1	.	0.0	37.134	-0.7598400324431628	29.498139551043806	269	1	ANAPC7	1	1.9205790454689249	0	0	.	0	0	.	30.658878564069568	protein_coding		s1_11
rs116202356	ACAA1	.	0.0	60.798	-0.5231017374031575	29.498139551043806	269	0		1	1.9205790454689249	0	0	.	0	0	.	30.895616859109573	protein_coding		.
