locus_name	score_gap	candidate_gene	candidate_score	penulatimate_gene	penultimate_score
rs140367586	0.04927488751367548	TAF6	30.83057575747032	CNPY4	30.781300869956645
rs11465506+rs422068	0.36578375062135393	HOMEZ	31.07428206032892	MYH7	30.708498309707565
rs56233017	0.294817261594563	GRINA	31.049358008954822	PARP10	30.75454074736026
rs55910611+rs907683	2.80371986055885	SLC4A3	35.42330282201772	SPEG	32.61958296145887
rs116202356	0.08633171830372532	OXSR1	31.14407894748569	MYD88	31.057747229181963
rs4608502	0.0015600325976805607	COL4A4	30.72905284859778	COL4A3	30.7274928160001
rs1361754+rs1775154	2.154592499946027	PM20D1	33.53005287343679	ELK4	31.37546037349076
rs4855537	0.3429248633322217	TAFA4	30.97841558798646	EOGT	30.63549072465424
rs1264353	0.3681929066143752	FLOT1	31.028179361964483	MUCL3	30.659986455350108
rs1321311+rs236349+rs9470361	0.401378335092172	MTCH1	31.199079897293583	PI16	30.79770156220141
rs1171563	0.6456171422356505	IQGAP3	31.066407392829035	NAXE	30.420790250593384
rs255292+rs4868243	0.4709270051129302	CREBRF	30.253205395162205	BNIP1	29.782278390049274
rs12364753	0.13714553552712871	TAF6L	31.114774888217585	TMEM223	30.977629352690457
rs1260326	0.258728381218269	CCDC121	31.19421083650721	KRTCAP3	30.93548245528894
rs1106399	0.045723835343373764	NDUFB3	30.99743288189095	FAM126B	30.951709046547577
rs7537765	0.9927903513033343	AGTRAP	31.093558661438745	C1orf167	30.10076831013541
rs2926743+rs2958149	2.6054005866922836	NACA	33.530732662133715	HSD17B6	30.925332075441432
rs2744375+rs7771320	3.3354318239633827	CAGE1	31.180532912729127	DSP	27.845101088765745
rs75714509	1.2042826959757207	HVCN1	30.766907432588425	PPP1CC	29.562624736612705
rs2025096	0.12772827646215745	GGT7	31.161446189023053	ACSS2	31.033717912560896
rs10865879+rs11708996+rs11710077+rs12053903+rs12632942+rs1805124+rs2051211+rs41312411+rs57326399+rs6599234+rs6599250+rs6599255+rs6793245+rs6795970+rs6801957+rs9851724	0.6424102824842137	ACVR2B	30.77212784672895	EXOG	30.129717564244736
